FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
71855.js,0.666666667,0.115384615,0.15,0.214285714,,,
72068.js,0.666666667,0.047619048,0.125,0.2,,,
72137.js,0.666666667,0.112,0.117647059,0.14,,,
72227.js,0.536363636,0.076502732,0.077777778,0.123348018,,,
72273.js,0.550458716,0.110169492,0.112554113,0.169934641,,,
72470.js,0.638297872,0.091954023,0.098765432,0.114285714,,,
72620.js,0.5,0.023255814,0.02739726,0.057142857,,,
72841.js,0.6,0.1,0.135135135,0.151515152,,,
72930.js,0.817518248,0.052208835,0.054852321,0.066326531,,,
72949.js,0.733333333,0.03030303,0.05,0.058823529,,,
72951.js,0.72,0.06993007,0.076335878,0.217391304,,,
72989.js,0.466666667,0.029411765,0.047619048,0.05,,,
73243.js,0.909090909,0.087719298,0.113636364,0.128205128,,,
73244.js,0.9,0.074626866,0.090909091,0.131578947,,,
7325.js,0.769230769,0.279069767,0.4,0.444444444,,,
73432.js,1,0.012160229,0.012256669,0.021223471,,,
73442.js,0.625,0.081632653,0.111111111,0.181818182,,,
73506.js,0.724137931,0.074074074,0.097560976,0.095238095,,,
738.js,0.689655172,0.18,0.243243243,0.219512195,,,
74079.js,0.839285714,0.042553191,0,0,,,
74119.js,0.9,0.051948052,0,0.072727273,,,
74363.js,0.823529412,0.205128205,0.242424242,0.363636364,,,
77100.js,0.776119403,0.028985507,0,0,,,
7745.js,0.88,0.238095238,0.344827586,0.285714286,,,
7775.js,0.565217391,0.043902439,0.046632124,0.068181818,,,
79736.js,0.666666667,0.071428571,0.133333333,0.142857143,,,
79754.js,1,0.066732478,0.066798419,0.125092524,,,
79783.js,0.759259259,0.154761905,0.183098592,0.188405797,,,
79806.js,0.675,0.155555556,0.181818182,0.233333333,,,
79827.js,1,0.225806452,0.28,0.35,,,
79855.js,0.546666667,0.118644068,0.12173913,0.164705882,,,
79897.js,0.7,0.110091743,0.116504854,0.148148148,,,
79935.js,0.853658537,0.174418605,0.1875,0.272727273,,,
79940.js,0.518518519,0.060606061,0.074074074,0.0625,,,
80024.js,0.333333333,0.074074074,0.142857143,0.222222222,,,
80045.js,0.713105077,0.087903832,0.088036117,0.173247779,,,
80055.js,0.565656566,0.055350554,0.056603774,0.092592593,,,
80121.js,0.705882353,0.142857143,0.172413793,0.238095238,,,
80761.js,0.777777778,0.185185185,0.238095238,0.384615385,,,
80781.js,0.692307692,0.036199095,0.038461538,0.068965517,,,
81210.js,0.777777778,0.085714286,0.136363636,0.157894737,,,
81329.js,0.820512821,0.230769231,0.288461538,0.326086957,,,
81381.js,0.837837838,0.222222222,0.271186441,0.31372549,,,
81439.js,0.62962963,0.18,0.2,0.25,,,
81520.js,0.807692308,0.12962963,0.170731707,0.259259259,,,
81524.js,0.94047619,0.052287582,0.057142857,0.086956522,,,
81531.js,0.824561404,0.105263158,0.114285714,0.119402985,,,
81543.js,0.816326531,0.15,0.179104478,0.173913043,,,
81582.js,0.84375,0.074626866,0.081967213,0.1,,,
81583.js,0.654545455,0.052083333,0.055555556,0.056179775,,,
