FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
82642.js,0.727272727,0.082089552,0.141025641,,,
82877.js,0.461538462,0.016129032,0.071428571,,,
82945.js,0.666666667,0.08,0.8,,,
82951.js,0.666666667,0.026315789,0.166666667,,,
82964.js,0.75,0.018181818,0.111111111,,,
83042.js,0.6,0.053571429,0.272727273,,,
83152.js,0.166666667,0.014705882,0.05,,,
83154.js,0.173076923,0.015625,0.055555556,,,
83197.js,0.28358209,0.023255814,0.06122449,,,
83287.js,0.173076923,0.015625,0.055555556,,,
83466.js,0.173076923,0.015151515,0.055555556,,,
83510.js,0.166666667,0.014705882,0.05,,,
83524.js,0.264705882,0.034188034,0.081632653,,,
83553.js,0.173076923,0.013888889,0.055555556,,,
83582.js,0.188679245,0.014285714,0.05,,,
83602.js,0.28358209,0.033333333,0.08,,,
83628.js,0.264705882,0.028846154,0.071428571,,,
83697.js,0.173076923,0.015151515,0.055555556,,,
83724.js,0.173076923,0.015625,0.055555556,,,
83869.js,0.830508475,0.118644068,0.2,,,
83881.js,0.671232877,0.093922652,0.157407407,,,
84075.js,0.818181818,0.083333333,0.416666667,,,
84651.js,0.7,0.035087719,0.181818182,,,
84997.js,0.565217391,0.089552239,0.217391304,,,
85263.js,0.846153846,0.032786885,0.133333333,,,
85565.js,0.740740741,0.073170732,0.155172414,,,
85601.js,0.787037037,0.050898204,0.098265896,,,
85630.js,0.333333333,0.033333333,0.12,,,
85675.js,0.444444444,0.042857143,0.157894737,,,
85769.js,0.416666667,0.074074074,0.25,,,
85776.js,0.363636364,0.060240964,0.2,,,
86050.js,0.555555556,0.084507042,0.285714286,,,
86052.js,0.404255319,0.035714286,0.075471698,,,
86060.js,0.717391304,0.094017094,0.180327869,,,
86065.js,0.574468085,0.054545455,0.12,,,
86142.js,0.767123288,0.090909091,0.144329897,,,
86243.js,0.774725275,0.076923077,0.106007067,,,
86282.js,0.783783784,0.067164179,0.1,,,
86298.js,0.516129032,0.03875969,0.075757576,,,
86313.js,0.734177215,0.069815195,0.100294985,,,
