FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
44169.js,0.5557942554235333,0.47368468976175,0.5462412913535083,0.6783175216037546
44354.js,0.6418450808124422,0.5386540040325908,0.5654408551349448,0.7361555654441468
44431.js,0.5022338160360663,0.43927244397191534,0.5913863352318782,0.6352162959701053
44471.js,0.479734193025852,0.4385587595948434,0.5199282562769257,0.6245396314436588
44575.js,0.48417216166193555,0.43927244397191534,0.5265098886067064,0.6407641418804345
44685.js,0.5032413071509942,0.43927244397191534,0.5298958391846184,0.6352162959701053
448.js,-1.0,-1.0,-1.0,-1.0
45063.js,0.4887356193828627,0.4436289714983179,0.5316134963284709,0.6352162959701053
45107.js,0.48598215736323147,0.44811774319169484,0.5404595860553039,0.6464599351554542
45220.js,0.5002368545845777,0.44811774319169484,0.5333479658513638,0.6407641418804345
45324.js,0.5282859011668849,0.45429507546807274,0.5374638954082765,0.723827491299917
45485.js,0.5917918587612346,0.44465061215863616,0.4346273241963064,0.5957590557215168
45491.js,0.6472385518328283,0.45236793626141203,0.4379174750458389,0.6761084985569309
45493.js,0.645529228142622,0.4542818271713309,0.4233802403271515,0.6557149870544813
45502.js,0.6681924561723188,0.5034262178483325,0.5055556011809749,0.6889554925222836
45505.js,0.5992883916529267,0.46091725918574333,0.44403783103743166,0.5945366450132299
45510.js,0.645942027209468,0.44994566832349736,0.4328812786897519,0.681914384411521
45545.js,0.5261261190680144,0.3813531622883041,0.43563439709832674,0.6733904744719801
45639.js,-1.0,-1.0,-1.0,-1.0
45681.js,-1.0,-1.0,-1.0,-1.0
45730.js,-1.0,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0,-1.0
46432.js,0.34168884827505414,0.3148617649612013,0.5201809639866857,0.59947894041409
4676.js,0.5495287409239886,0.4091827168533754,0.4837420214457772,0.6757807447167391
4677.js,0.5509495534015749,0.4286482508993253,0.4740423259426233,0.7010963201705881
46860.js,-1.0,-1.0,-1.0,-1.0
4698.js,0.5894917288691196,0.4879872263707784,0.5587415486847215,0.7407437469876467
471.js,-1.0,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0,-1.0
47250.js,-1.0,-1.0,-1.0,-1.0
473.js,-1.0,-1.0,-1.0,-1.0
47409.js,-1.0,-1.0,-1.0,-1.0
4764.js,0.7341605596156635,0.5063022901150934,0.5129446980259748,0.7594377000865
4861.js,0.6481199831541714,0.4906407131370584,0.5399259872211702,0.7376668659562908
