FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
47154.js,0,0.2,0.6,0.6,,,
47289.js,0,3,0,0,,,
47656.js,0,3,0,0,,,
49340.js,0,3,0,0,,,
49662.js,0,3,0,0,,,
49680.js,0,3,0,0,,,
49711.js,0,3,0,0,,,
50055.js,0,2,0,0,,,
50084.js,0,2,0,0,,,
50145.js,0,2,0,0,,,
50382.js,0.5,1.5,1,1,,,
50435.js,0,2,0,0,,,
50453.js,0,2,0,0,,,
50529.js,0,3,0,0,,,
50562.js,0,3,0,0,,,
50570.js,0,3,0,0,,,
50605.js,0,2,0,0,,,
50674.js,0,2,0,0,,,
50721.js,0,2,0,0,,,
50732.js,0,2,0,0,,,
51042.js,0,0.285714286,0.285714286,0.285714286,,,
51051.js,0,0.75,0.25,0.25,,,
51153.js,0,0.166666667,0.666666667,0.666666667,,,
51297.js,0,0.4,0.4,0.6,,,
51515.js,0,0.6,0.2,0.2,,,
51803.js,0,3,0,0,,,
51903.js,0,3,0,0,,,
5191.js,0,2,0,0.5,,,
51915.js,0,3,0,0,,,
51925.js,0,3,0,0,,,
51930.js,0,3,0,0,,,
52115.js,0,3,0,0,,,
5217.js,0,1,0,0,,,
52191.js,0,3,0,0,,,
52286.js,0,3,0,0,,,
52340.js,0,3,0,0,,,
52423.js,0,3,0,0,,,
5246.js,0,0.3,0.7,0.6,,,
52707.js,0,0,0.714285714,0.571428571,,,
52733.js,0,0.285714286,0.285714286,0.428571429,,,
52883.js,0,0.1,0.5,0.5,,,
52943.js,0,0.6,0.4,0.2,,,
53065.js,0,3,0,0,,,
53075.js,0,0.25,0.583333333,0.583333333,,,
53399.js,0,0.8,0,0.2,,,
53620.js,0,0.4,0.4,0.6,,,
53628.js,0,0,0.285714286,0.357142857,,,
53659.js,0,0.1,0.6,0.6,,,
53667.js,0,0.384615385,0.692307692,0.692307692,,,
53673.js,0,0.4,0.4,0.4,,,
53701.js,0,0,0.714285714,0.571428571,,,
53741.js,0,0,0.444444444,0.444444444,,,
53868.js,0,0.230769231,0.076923077,0.076923077,,,
5396.js,0,0.043478261,0.130434783,0.130434783,,,
53980.js,0,0.111111111,0.555555556,0.555555556,,,
54129.js,0,0.5625,0.875,0.875,,,
54354.js,0,0.1,0.5,0.5,,,
54409.js,0,0.384615385,0.692307692,0.692307692,,,
54693.js,0,0.142857143,0.428571429,0.428571429,,,
54815.js,0,0.6,0.4,0.4,,,
54985.js,0,0.1,0.5,0.5,,,
55287.js,0,0.1,0.5,0.5,,,
55447.js,0,0.461538462,0.564102564,0.58974359,,,
55460.js,0,0,0.5,0.5,,,
55478.js,0,0.1,0.3,0.3,,,
55560.js,0,0.181818182,0.545454545,0.545454545,,,
55570.js,0,0,0.444444444,0.444444444,,,
5565.js,0,1,0,0,,,
55685.js,0,0.56097561,0.609756098,0.609756098,,,
55856.js,0,0.1,0.4,0.3,,,
55876.js,0,0.3,0.8,0.8,,,
55879.js,0,0.125,0.625,0.625,,,
56064.js,0,0.083333333,0.5,0.416666667,,,
56095.js,0,0,0.4,0.4,,,
56372.js,0,0.166666667,0.5,0.666666667,,,
56410.js,0,0.090909091,0.454545455,0.454545455,,,
56547.js,0,0.333333333,0.111111111,0.111111111,,,
56601.js,0,0,0.5,0.5,,,
56923.js,0,0.25,0.45,0.45,,,
57025.js,0,1.5,0,0.5,,,
57223.js,0,0.461538462,0.846153846,0.769230769,,,
57320.js,0,3,0,0,,,
57339.js,0,0,0,0,,,
57449.js,0,1,0.5,0.5,,,
57481.js,0,0.333333333,0.833333333,0.833333333,,,
57567.js,0,0,1,1,,,
5758.js,0,0.25,0.75,0.75,,,
57583.js,0,0.666666667,0.851851852,0.814814815,,,
57591.js,0,0.75,0.25,0,,,
57617.js,0,1.333333333,0,0.333333333,,,
57674.js,0,3,1,0,,,
57698.js,0,0.5,0.166666667,0.166666667,,,
58229.js,0,0.285714286,0,0,,,
58412.js,0,0.142857143,0.428571429,0.428571429,,,
58550.js,0,0.1,0.1,0.2,,,
