FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
58829.js,1,0.068965517,0.5,,,
58867.js,1,0.155172414,0.692307692,,,
58897.js,1,0.04,0.5,,,
59029.js,1,0.066666667,0.285714286,,,
59093.js,0.565217391,0.056338028,0.16,,,
59099.js,0.84375,0.144736842,0.366666667,,,
59309.js,0.8,0.154929577,0.523809524,,,
59383.js,0.818181818,0.086206897,0.416666667,,,
59534.js,1,0.021276596,1,,,
59559.js,1,0.021276596,1,,,
6010.js,0.3125,0.015873016,0.058823529,,,
60326.js,0.5,0.04,0.5,,,
60393.js,1,0.089285714,0.5,,,
60820.js,0.714285714,0.081967213,0.333333333,,,
61022.js,0.740740741,0.202531646,0.533333333,,,
61201.js,0.652173913,0.077777778,0.194444444,,,
61443.js,0.8,0.107142857,0.6,,,
61535.js,1,0.040816327,0.666666667,,,
61596.js,0.846153846,0.106060606,0.5,,,
61603.js,0.875,0.14516129,0.5625,,,
61642.js,1,0.06122449,1,,,
61757.js,1,0.056603774,0.428571429,,,
61902.js,1,0.057692308,0.5,,,
61999.js,0.941176471,0.129032258,0.470588235,,,
62048.js,1,0.094339623,0.714285714,,,
62461.js,1,0.058823529,0.6,,,
62519.js,1,0.113207547,0.75,,,
62758.js,0.818181818,0.090909091,0.428571429,,,
6279.js,0.027027027,0.032786885,0.25,,,
62802.js,1,0.178571429,1,,,
63048.js,0.5,0.034285714,0.4,,,
63155.js,1,0.122807018,0.5,,,
63225.js,0.777777778,0.109090909,0.666666667,,,
634.js,0.5,0.016129032,0.125,,,
63457.js,1,0.075471698,0.571428571,,,
63628.js,0.72,0.139240506,0.379310345,,,
6370.js,0.181818182,0.015625,0.071428571,,,
63757.js,1,0.138461538,0.473684211,,,
64206.js,0.25,0.033898305,0.25,,,
6422.js,0.181818182,0.016393443,0.083333333,,,
64731.js,0.368421053,0.085714286,0.285714286,,,
65321.js,0.722222222,0.088235294,0.285714286,,,
66225.js,0.552631579,0.073446328,0.144444444,,,
66377.js,0.75,0.084745763,0.357142857,,,
66394.js,0.857142857,0.090909091,0.4,,,
66945.js,1,0.020408163,0.333333333,,,
67353.js,1,0.016949153,0.076923077,,,
67476.js,1,0.052631579,0.25,,,
67544.js,1,0.028985507,0.086956522,,,
67717.js,0.8,0.035714286,0.2,,,
67918.js,0.666666667,0.056603774,0.5,,,
67961.js,1,0.092592593,0.555555556,,,
67981.js,1,0.04,0.5,,,
6806.js,0.875,0.147540984,0.5625,,,
68706.js,0.777777778,0.055555556,0.166666667,,,
68856.js,1,0.074074074,0.571428571,,,
69198.js,1,0.087719298,0.416666667,,,
69216.js,1,0.021276596,1,,,
69246.js,1,0.020833333,0.5,,,
69472.js,1,0.020833333,0.5,,,
69578.js,0.666666667,0.069444444,0.227272727,,,
69635.js,1,0.054545455,0.3,,,
69705.js,0.428571429,0.018518519,0.125,,,
70353.js,1,0.020833333,0.5,,,
70748.js,0.538461538,0.06779661,0.285714286,,,
70775.js,1,0.018867925,0.142857143,,,
70848.js,1,0.053571429,0.272727273,,,
71032.js,1,0.018518519,0.125,,,
71688.js,0.563636364,0.109195402,0.256756757,,,
71716.js,1,0.022707424,0.070652174,,,
71738.js,1,0.042553191,0.666666667,,,
71744.js,1,0.02173913,1,,,
72068.js,0.666666667,0.020408163,0.25,,,
72259.js,0.634146341,0.067961165,0.12962963,,,
72470.js,0.638297872,0.075630252,0.147540984,,,
72581.js,0.771428571,0.104166667,0.25,,,
73103.js,0.8,0.090909091,0.285714286,,,
73109.js,0.695652174,0.153846154,0.5,,,
73132.js,1,0.115384615,0.857142857,,,
73187.js,0.846153846,0.109756098,0.428571429,,,
73243.js,0.909090909,0.057471264,0.185185185,,,
7325.js,0.769230769,0.171428571,0.5,,,
73300.js,1,0.020408163,0.333333333,,,
73442.js,0.625,0.052631579,0.16,,,
7745.js,0.88,0.142857143,0.384615385,,,
78018.js,1,0.15,0.642857143,,,
78361.js,1,0.15,0.642857143,,,
78393.js,1,0.15,0.642857143,,,
78604.js,1,0.15,0.642857143,,,
78626.js,1,0.15,0.642857143,,,
78937.js,1,0.15,0.642857143,,,
79119.js,1,0.15,0.642857143,,,
79406.js,1,0.15,0.642857143,,,
79496.js,1,0.15,0.642857143,,,
79644.js,0.588235294,0.014705882,0.055555556,,,
79783.js,0.759259259,0.118644068,0.24137931,,,
79806.js,0.675,0.13592233,0.285714286,,,
79827.js,1,0.118644068,0.636363636,,,
80041.js,0.666666667,0.038461538,0.333333333,,,
80121.js,0.705882353,0.078125,0.263157895,,,
80761.js,0.777777778,0.083333333,0.5,,,
81381.js,0.837837838,0.16,0.340425532,,,
81439.js,0.62962963,0.115384615,0.321428571,,,
81680.js,0.6875,0.090909091,0.315789474,,,
81791.js,0.65,0.036585366,0.103448276,,,
8184.js,0.5,0.053571429,0.333333333,,,
81895.js,0.631578947,0.061538462,0.2,,,
81923.js,0.7,0.111111111,0.218181818,,,
81975.js,0.590909091,0.07,0.14893617,,,
82065.js,0.695652174,0.078431373,0.156862745,,,
82121.js,0.75,0.11627907,0.263157895,,,
82246.js,0.615384615,0.053191489,0.131578947,,,
82951.js,0.666666667,0.026315789,0.166666667,,,
83042.js,0.6,0.053571429,0.272727273,,,
83154.js,0.173076923,0.015625,0.055555556,,,
83287.js,0.173076923,0.015625,0.055555556,,,
83510.js,0.166666667,0.014705882,0.05,,,
83582.js,0.188679245,0.014285714,0.05,,,
83628.js,0.264705882,0.028846154,0.071428571,,,
83881.js,0.671232877,0.093922652,0.157407407,,,
83992.js,0.8,0.136986301,0.37037037,,,
84075.js,0.818181818,0.083333333,0.416666667,,,
84203.js,1,0.020833333,0.5,,,
8424.js,1,0.020833333,0.5,,,
84337.js,1,0.076923077,0.571428571,,,
84365.js,1,0.113207547,0.75,,,
84901.js,0.928571429,0.109375,0.538461538,,,
85373.js,1,0.020408163,0.333333333,,,
85769.js,0.416666667,0.074074074,0.25,,,
85776.js,0.363636364,0.060240964,0.2,,,
86047.js,1,0.115384615,0.857142857,,,
86050.js,0.555555556,0.084507042,0.285714286,,,
86060.js,0.717391304,0.094017094,0.180327869,,,
86065.js,0.574468085,0.054545455,0.12,,,
86235.js,1,0.098039216,0.833333333,,,
86436.js,0.555555556,0.036363636,0.222222222,,,
86507.js,0.6,0.032786885,0.2,,,
86715.js,0.333333333,0.033707865,0.125,,,
86735.js,0.75,0.107843137,0.215686275,,,
86811.js,1,0.094339623,0.625,,,
86832.js,0.62745098,0.068181818,0.103448276,,,
86969.js,0.53968254,0.053030303,0.101449275,,,
87032.js,1,0.020833333,0.5,,,
87083.js,1,0.020833333,0.5,,,
87103.js,1,0.037735849,0.25,,,
87319.js,1,0.015625,0.055555556,,,
87347.js,1,0.015384615,0.052631579,,,
87349.js,1,0.015625,0.055555556,,,
87389.js,0.823529412,0.011764706,0.029411765,,,
87599.js,1,0.015384615,0.052631579,,,
87741.js,0.6,0.034482759,0.181818182,,,
87868.js,1,0.040816327,0.5,,,
87950.js,0.777777778,0.035714286,0.2,,,
88245.js,1,0.02,0.25,,,
88281.js,0.777777778,0.017857143,0.1,,,
88338.js,0.846153846,0.033333333,0.142857143,,,
88368.js,0.571428571,0.097560976,0.168539326,,,
88502.js,1,0.0625,0.666666667,,,
88584.js,0.777777778,0.017857143,0.1,,,
88669.js,0.6,0.05952381,0.128205128,,,
88692.js,1,0.115384615,0.625,,,
89372.js,0.818181818,0.051724138,0.333333333,,,
89559.js,0.333333333,0.019230769,0.166666667,,,
89608.js,0.677419355,0.12195122,0.27027027,,,
89933.js,0.789473684,0.078947368,0.3,,,
90997.js,0.98,0.042553191,0.081632653,,,
91312.js,0.777777778,0.163043478,0.405405405,,,
91394.js,1,0.096153846,0.714285714,,,
91446.js,0.666666667,0.094594595,0.269230769,,,
91677.js,0.62962963,0.139534884,0.387096774,,,
91734.js,0.68852459,0.222222222,0.424242424,,,
91748.js,0.906976744,0.090909091,0.222222222,,,
92794.js,0.75,0.104477612,0.4375,,,
93449.js,0.0625,0.021276596,1,,,
94210.js,1,0.06,0.75,,,
94309.js,1,0.035714286,0.666666667,,,
94320.js,0.739130435,0.08490566,0.346153846,,,
94449.js,0.76,0.102564103,0.296296296,,,
94637.js,1,0.020833333,0.5,,,
94705.js,1,0.02,0.25,,,
94749.js,1,0.081967213,0.555555556,,,
94934.js,0.588235294,0.075757576,0.294117647,,,
94937.js,0.652173913,0.155844156,0.52173913,,,
95059.js,1,0.02173913,1,,,
95188.js,0.454545455,0.053571429,0.181818182,,,
95304.js,0.365853659,0.05785124,0.113207547,,,
95349.js,0.00257732,0.021276596,1,,,
95354.js,0.001577287,0.021276596,1,,,
95511.js,0.964285714,0.233766234,0.580645161,,,
95745.js,0.904761905,0.014705882,0.045454545,,,
96010.js,0.603960396,0.108527132,0.166666667,,,
96286.js,0.769230769,0.042253521,0.15,,,
96412.js,0.722222222,0.097222222,0.304347826,,,
96460.js,1,0.08,0.8,,,
96609.js,1,0.031746032,0.111111111,,,
96866.js,1,0.018181818,0.111111111,,,
97023.js,0.52173913,0.118421053,0.333333333,,,
971.js,1,0.041666667,0.666666667,,,
97154.js,0.538461538,0.037037037,0.230769231,,,
97160.js,1,0.074074074,0.444444444,,,
97966.js,0.613636364,0.116504854,0.222222222,,,
97999.js,0.6,0.084745763,0.5,,,
9814.js,0.533333333,0.032258065,0.125,,,
98605.js,0.894736842,0.15625,0.555555556,,,
98613.js,1,0.075757576,0.238095238,,,
98893.js,0.891891892,0.093023256,0.205128205,,,
98898.js,0.816666667,0.094594595,0.191780822,,,
98983.js,0.857142857,0.182795699,0.432432432,,,
99156.js,0.695652174,0.055555556,0.16,,,
99288.js,0.985294118,0.032967033,0.044117647,,,
99502.js,0.8,0.01754386,0.090909091,,,
9958.js,0.333333333,0.018181818,0.166666667,,,
99582.js,0.9,0.081967213,0.416666667,,,
99986.js,1,0.041666667,0.666666667,,,
99988.js,1,0.045454545,0.142857143,,,
