FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
44079.js,0.0,0.125,0.375,0.375
44114.js,0.0,0.125,0.5,0.5
44122.js,0.0,0.125,0.5,0.375
44139.js,0.0,0.125,0.5,0.375
44169.js,0.0,0.125,0.375,0.375
44293.js,0.0,0.125,0.375,0.5
44333.js,0.0,0.125,0.375,0.375
44354.js,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727
44431.js,0.0,0.125,0.5,0.375
44471.js,0.0,0.125,0.375,0.375
44473.js,0.0,0.125,0.375,0.375
44518.js,0.0,0.125,0.5,0.375
44553.js,0.0,0.125,0.375,0.375
44575.js,0.0,0.125,0.375,0.375
44576.js,0.0,0.125,0.375,0.375
44624.js,0.0,0.125,0.375,0.375
44685.js,0.0,0.125,0.375,0.375
448.js,-1.0,-1.0,-1.0,-1.0
44963.js,0.0,0.125,0.5,0.375
45063.js,0.0,0.125,0.375,0.375
45101.js,0.0,0.125,0.375,0.375
45107.js,0.0,0.125,0.375,0.375
45154.js,0.0,0.125,0.375,0.5
45220.js,0.0,0.125,0.375,0.375
45243.js,0.0,0.125,0.375,0.375
45324.js,0.0,0.125,0.375,0.5
45333.js,0.0,0.125,0.5,0.5
45502.js,0.0,0.75,0.0,0.25
45730.js,-1.0,-1.0,-1.0,-1.0
45861.js,-1.0,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0,-1.0
46.js,0.0,1.3333333333333333,0.0,0.3333333333333333
46063.js,-1.0,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0,-1.0
46111.js,-1.0,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0,-1.0
46432.js,0.0,2.0,0.5,0.5
4654.js,0.0,1.5,1.0,0.0
46572.js,-1.0,-1.0,-1.0,-1.0
4676.js,0.0,1.0,0.0,0.3333333333333333
46860.js,-1.0,-1.0,-1.0,-1.0
47010.js,-1.0,-1.0,-1.0,-1.0
47021.js,-1.0,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0,-1.0
47154.js,0.0,0.2,0.6,0.6
47250.js,-1.0,-1.0,-1.0,-1.0
47289.js,0.0,3.0,0.0,0.0
47526.js,-1.0,-1.0,-1.0,-1.0
47656.js,0.0,3.0,0.0,0.0
48874.js,-1.0,-1.0,-1.0,-1.0
48940.js,-1.0,-1.0,-1.0,-1.0
49340.js,0.0,3.0,0.0,0.0
49662.js,0.0,3.0,0.0,0.0
