FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
43981.js,1.0,1.375,1.0
44079.js,1.0,1.375,1.0
44114.js,1.0,1.375,1.0
44122.js,1.0,1.375,1.0
44139.js,1.0,1.375,1.0
44169.js,1.0,1.375,1.0
44293.js,1.0,1.375,1.0
44333.js,1.0,1.375,1.0
44354.js,1.0,1.2727272727272727,1.0
44431.js,1.0,1.375,1.0
44471.js,1.0,1.375,1.0
44473.js,1.0,1.375,1.0
44518.js,1.0,1.375,1.0
44553.js,1.0,1.375,1.0
44575.js,1.0,1.375,1.0
44576.js,1.0,1.375,1.0
44624.js,1.0,1.375,1.0
44685.js,1.0,1.375,1.0
448.js,-1.0,-1.0,-1.0
44963.js,1.0,1.375,1.0
45063.js,1.0,1.375,1.0
45101.js,1.0,1.375,1.0
45107.js,1.0,1.375,1.0
45154.js,1.0,1.375,1.0
45220.js,1.0,1.375,1.0
45243.js,1.0,1.375,1.0
45324.js,1.0,1.375,1.0
45333.js,1.0,1.375,1.0
45502.js,1.0,1.75,-1.0
45730.js,-1.0,-1.0,-1.0
45861.js,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0
46.js,1.0,2.0,-1.0
46063.js,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0
46111.js,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0
46432.js,1.0,2.5,1.0
4654.js,1.0,2.5,1.0
46572.js,-1.0,-1.0,-1.0
4676.js,1.0,2.0,-1.0
46860.js,-1.0,-1.0,-1.0
47010.js,-1.0,-1.0,-1.0
47021.js,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0
47154.js,1.0,1.6,1.0
47250.js,-1.0,-1.0,-1.0
47289.js,1.0,4.0,1.0
