FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
27245.js,-1,-1,-1,-1,-1
27247.js,-1,-1,-1,-1,-1
27598.js,0.467482296,-1,0.569083826,0.226551444,0.670762371
27724.js,0.462606344,-1,0.534444121,0.225355329,0.711500473
27838.js,0.428918928,-1,0.481494691,0.218592829,0.658322575
27846.js,0.439272444,-1,0.495346836,0.218592829,0.640764142
27880.js,0.455113933,-1,0.513661487,0.218592829,0.652310371
27891.js,0.435738417,-1,0.49438593,0.218592829,0.658322575
27902.js,0.432971796,-1,0.488735619,0.218592829,0.635216296
28298.js,0.462962963,-1,0.528415993,0.228416096,0.6576267
28473.js,0.433658508,-1,0.486894801,0.218592829,0.635216296
28688.js,0.449644554,-1,0.504254886,0.218592829,0.719442283
28808.js,0.43855876,-1,0.490597476,0.218592829,0.710721449
28877.js,0.429586507,-1,0.480612024,0.218592829,0.719442283
28976.js,0.432288335,-1,0.487812605,0.218592829,0.658322575
29012.js,0.43855876,-1,0.493430594,0.218592829,0.702310248
29132.js,0.45591168,-1,0.518014628,0.218592829,0.646459935
29148.js,0.476553044,-1,0.547025266,0.216694536,0.671341633
29213.js,0.432288335,-1,0.492480775,0.218592829,0.694190781
29258.js,0.432971796,-1,0.490597476,0.218592829,0.635216296
29294.js,0.432288335,-1,0.48238224,0.218592829,0.702310248
29386.js,0.437848543,-1,0.493430594,0.218592829,0.635216296
29408.js,0.428918928,-1,0.488735619,0.218592829,0.652310371
29474.js,0.442162425,-1,0.505274614,0.218592829,0.635216296
29533.js,0.458734902,-1,0.527436537,0.228416096,0.6576267
29540.js,0.435738417,-1,0.487812605,0.218592829,0.658322575
29567.js,0.442893877,-1,0.498263526,0.218592829,0.635216296
29651.js,0.426279402,-1,0.478861155,0.218592829,0.635216296
29704.js,0.451187079,-1,0.501232352,0.218592829,0.624539631
29838.js,-1,-1,-1,-1,-1
2985.js,0.438870145,0.136504186,0.442696286,0.042087249,0.159872562
29861.js,-1,-1,-1,-1,-1
29913.js,-1,-1,-1,-1,-1
29975.js,-1,-1,-1,-1,-1
29986.js,-1,-1,-1,-1,-1
300.js,-1,-1,-1,-1,-1
30124.js,-1,-1,-1,-1,-1
30293.js,-1,-1,-1,-1,-1
30361.js,-1,-1,-1,-1,-1
30370.js,-1,-1,-1,-1,-1
30375.js,-1,-1,-1,-1,-1
30403.js,-1,-1,-1,-1,-1
30415.js,-1,-1,-1,-1,-1
30510.js,-1,-1,-1,-1,-1
3062.js,0.263262095,0.138675049,0.256834753,0.111919078,0.353553391
30712.js,-1,-1,-1,-1,-1
30719.js,-1,-1,-1,-1,-1
30771.js,-1,-1,-1,-1,-1
30860.js,-1,-1,-1,-1,-1
30876.js,-1,-1,-1,-1,-1
30894.js,-1,-1,-1,-1,-1
30959.js,-1,-1,-1,-1,-1
30978.js,-1,-1,-1,-1,-1
31344.js,-1,-1,-1,-1,-1
31377.js,-1,-1,-1,-1,-1
31386.js,-1,-1,-1,-1,-1
31487.js,-1,-1,-1,-1,-1
31552.js,-1,-1,-1,-1,-1
