improve,nice,recover_nice,name,,,
0,0,0,49680.js,,,
0,0.082491582,0.083191851,49711.js,,,
0,0.081967213,0.084269663,50055.js,,,
0,0.03030303,0.033333333,50084.js,,,
0,0.052631579,0.0546875,50145.js,,,
0,0,0,50382.js,,,
0,0.031578947,0.032608696,50435.js,,,
0,0.032085561,0.027624309,50453.js,,,
0,0,0,50529.js,,,
0,0,0,50562.js,,,
0,0,0,50570.js,,,
0,0.057692308,0.065217391,50605.js,,,
0,0,0,50674.js,,,
0,0.015873016,0.018181818,50721.js,,,
0,0,0,50732.js,,,
0,0.024390244,0.025316456,51042.js,,,
0,0.025641026,0.028571429,51051.js,,,
0,0,0,51153.js,,,
-1,-1,-1,51297.js,,,
0,0.038461538,0.045454545,51515.js,,,
0,0,0,51803.js,,,
0,0,0,51903.js,,,
0,0,0,5191.js,,,
0,0,0,51915.js,,,
0,0,0,51925.js,,,
0,0,0,51930.js,,,
0,0,0,52115.js,,,
0,0,0,5217.js,,,
0,0,0,52191.js,,,
0,0,0,52286.js,,,
0,0,0,52340.js,,,
-1,-1,-1,524.js,,,
0,0,0,52423.js,,,
0,0,0,5246.js,,,
0,0,0,52707.js,,,
0,0.068965517,0.071428571,52733.js,,,
0,0,0,52883.js,,,
-1,-1,-1,52943.js,,,
0,0,0,53065.js,,,
-1,-1,-1,53075.js,,,
-1,-1,-1,53082.js,,,
-1,-1,-1,53399.js,,,
0,0,0,53620.js,,,
0,0,0,53628.js,,,
0,0,0,53659.js,,,
0,0.033333333,0,53667.js,,,
0,0,0,53673.js,,,
0,0,0,53701.js,,,
0,0,0,53741.js,,,
0,0.014925373,0,53868.js,,,
0,0.025641026,0.025735294,5396.js,,,
0,0,0,53980.js,,,
0,0,0,54129.js,,,
-1,-1,-1,54354.js,,,
0,0,0,54409.js,,,
0,0.040816327,0.044444444,54693.js,,,
0,0,0,54815.js,,,
0,0.019607843,0.021276596,54985.js,,,
0,0,0,55287.js,,,
0,0.051724138,0.053097345,55447.js,,,
0,0,0,55460.js,,,
0,0.03125,0.035714286,55478.js,,,
0,0,0,55560.js,,,
0,0,0,55570.js,,,
0,0,0,5565.js,,,
0,0.007142857,0.00729927,55685.js,,,
0,0.019607843,0.02173913,55856.js,,,
0,0,0,55876.js,,,
0,0,0,55879.js,,,
0,0,0,56064.js,,,
0,0,0,56095.js,,,
0,0,0,56372.js,,,
0,0,0,56410.js,,,
0,0.080357143,0.082568807,56547.js,,,
0,0,0,56601.js,,,
0,0.022222222,0.024390244,56923.js,,,
0,0.038461538,0.045454545,57025.js,,,
-1,-1,-1,57145.js,,,
-1,-1,-1,57223.js,,,
0,0,0,57320.js,,,
0,0,0,57339.js,,,
0,0,0,57449.js,,,
0,0,0,57481.js,,,
0,0,0,57567.js,,,
0,0.015384615,0.016666667,5758.js,,,
0,0.015625,0,57583.js,,,
0,0,0,57591.js,,,
0,0,0,57617.js,,,
-1,0,-1,57674.js,,,
0,0,0,57698.js,,,
-1,-1,-1,57973.js,,,
-1,-1,-1,58032.js,,,
0,0,0,58229.js,,,
0,0,0,58412.js,,,
0,0,0,58550.js,,,
0,0,0,58570.js,,,
0,0,0,58685.js,,,
0,0,0,58800.js,,,
0,0,0,58819.js,,,
0,0,0,58829.js,,,
0,0,0,58867.js,,,
0,0,0,58897.js,,,
0,0,0,59029.js,,,
0,0.012820513,0.014084507,5905.js,,,
0,0,0,59093.js,,,
0,0,0,59099.js,,,
0,0.042735043,0.043478261,59106.js,,,
0,0.045454545,0.046875,59296.js,,,
0,0,0,59309.js,,,
0,0,0,59355.js,,,
0,0,0,59383.js,,,
0,0,0,59534.js,,,
0,0,0,59540.js,,,
0,0,0,59559.js,,,
0,0,0,59875.js,,,
0,0,0,6010.js,,,
0,0,0,60128.js,,,
0,0,0,60326.js,,,
0,0,0,60393.js,,,
0,0.043478261,0.071428571,60820.js,,,
0,0,0,61022.js,,,
0,0.02,0.021276596,61201.js,,,
0,0,0,61254.js,,,
0,0,0,61443.js,,,
0,0,0,61535.js,,,
0,0,0,61596.js,,,
0,0,0,61603.js,,,
0,0,0,61618.js,,,
0,0,0,61642.js,,,
0,0.025210084,0.026548673,6175.js,,,
0,0,0,61757.js,,,
0,0,0,61902.js,,,
0,0,0,61999.js,,,
0,0,0,62021.js,,,
0,0,0,62048.js,,,
0,0.022222222,0.027027027,62277.js,,,
-1,-1,-1,62461.js,,,
0,0,0,62479.js,,,
0,0,0,62519.js,,,
