FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
42984.js,1,0.28,0.368421053,0.368421053,,,
43082.js,1,0.28,0.368421053,0.368421053,,,
43405.js,1,0.28,0.368421053,0.583333333,,,
43492.js,1,0.28,0.368421053,0.368421053,,,
43566.js,1,0.28,0.368421053,0.368421053,,,
43851.js,1,0.28,0.583333333,0.368421053,,,
43891.js,1,0.28,0.368421053,0.583333333,,,
43898.js,1,0.28,0.368421053,0.368421053,,,
43931.js,1,0.28,0.583333333,0.368421053,,,
43981.js,1,0.28,0.583333333,0.583333333,,,
44079.js,1,0.28,0.368421053,0.368421053,,,
44114.js,1,0.28,0.583333333,0.583333333,,,
44122.js,1,0.28,0.583333333,0.368421053,,,
44139.js,1,0.28,0.583333333,0.368421053,,,
44169.js,1,0.24137931,0.304347826,0.304347826,,,
44293.js,1,0.28,0.368421053,0.583333333,,,
44333.js,1,0.28,0.368421053,0.368421053,,,
44354.js,0.627906977,0.135802469,0.146666667,0.192982456,,,
44431.js,1,0.28,0.583333333,0.368421053,,,
44471.js,1,0.28,0.368421053,0.368421053,,,
44473.js,1,0.28,0.368421053,0.368421053,,,
44518.js,1,0.28,0.583333333,0.368421053,,,
44553.js,1,0.28,0.368421053,0.368421053,,,
44575.js,1,0.28,0.368421053,0.368421053,,,
44576.js,1,0.28,0.368421053,0.368421053,,,
44624.js,1,0.28,0.368421053,0.368421053,,,
44685.js,1,0.28,0.368421053,0.368421053,,,
44963.js,1,0.28,0.583333333,0.368421053,,,
45063.js,1,0.28,0.368421053,0.368421053,,,
45101.js,1,0.269230769,0.35,0.35,,,
45107.js,1,0.28,0.368421053,0.368421053,,,
45154.js,1,0.28,0.368421053,0.583333333,,,
45220.js,1,0.28,0.368421053,0.368421053,,,
45243.js,1,0.28,0.368421053,0.368421053,,,
45324.js,1,0.269230769,0.35,0.538461538,,,
45333.js,1,0.269230769,0.538461538,0.538461538,,,
45502.js,0.810344828,0.013496933,0.013597033,0.022964509,,,
46.js,0.666666667,0.058823529,0.064516129,0.173913043,,,
46432.js,1,0.19047619,0.266666667,0.266666667,,,
4654.js,1,0.176470588,0,0.6,,,
4676.js,0.714285714,0.092592593,0.104166667,0.185185185,,,
47154.js,0.678571429,0.176470588,0.236842105,0.25,,,
47289.js,1,0.058823529,0.25,0.25,,,
47656.js,1,0.0625,0.333333333,0.5,,,
49340.js,1,0.041666667,0.090909091,0.090909091,,,
49662.js,0.3125,0.076923077,0.115384615,0.136363636,,,
49680.js,1,0.111111111,0.4,0.5,,,
49711.js,0.745454545,0.010735373,0.01080497,0.019230769,,,
50055.js,0.326732673,0.012254902,0.012626263,0.025510204,,,
50084.js,0.475,0.051546392,0.058823529,0.084745763,,,
50145.js,0.518072289,0.018181818,0.019011407,0.03875969,,,
50382.js,0.901960784,0.048192771,0,0,,,
50435.js,0.777777778,0.034782609,0.036697248,0.044444444,,,
50453.js,1,0.032110092,0.033980583,0.039325843,,,
50529.js,0.857142857,0.024390244,0.035714286,0.041666667,,,
50562.js,0.9,0.027777778,0.043478261,0.045454545,,,
50570.js,0.857142857,0.024390244,0.035714286,0.041666667,,,
50605.js,0.566666667,0.029850746,0.036363636,0.052631579,,,
50674.js,0.631578947,0.118644068,0.14893617,0.259259259,,,
50721.js,1,0.010869565,0.0125,0.02173913,,,
50732.js,1,0.014705882,0.017857143,0.027777778,,,
51042.js,0.62745098,0.155963303,0.165048544,0.207317073,,,
51051.js,0.576923077,0.148148148,0.166666667,0.195121951,,,
51153.js,0.5,0.196428571,0.255813953,0.297297297,,,
51297.js,0.740740741,0.109090909,0.12244898,0.1875,,,
51515.js,0.647058824,0.138888889,0.166666667,0.185185185,,,
51803.js,1,0.027777778,0.043478261,0.043478261,,,
51903.js,1,0.027777778,0.043478261,0.043478261,,,
5191.js,1,0.2,0.571428571,0.285714286,,,
51915.js,1,0.027777778,0.043478261,0.043478261,,,
51925.js,1,0.027777778,0.043478261,0.043478261,,,
51930.js,1,0.027777778,0.043478261,0.043478261,,,
52115.js,1,0.028571429,0.045454545,0.045454545,,,
5217.js,0.555555556,0.081081081,0.096774194,0.111111111,,,
52191.js,1,0.028571429,0.045454545,0.045454545,,,
52286.js,1,0.028571429,0.045454545,0.045454545,,,
52340.js,1,0.028571429,0.045454545,0.045454545,,,
52423.js,1,0.028571429,0.045454545,0.045454545,,,
5246.js,0.735294118,0.147540984,0.1875,0.191489362,,,
52707.js,0.666666667,0.132075472,0.175,0.184210526,,,
52733.js,0.6875,0.1125,0.121621622,0.214285714,,,
52883.js,0.622222222,0.157894737,0.171428571,0.193548387,,,
52943.js,0.842105263,0.243243243,0.375,0.321428571,,,
53065.js,1,0.090909091,0.222222222,0.222222222,,,
53075.js,0.790123457,0.138728324,0.143712575,0.196721311,,,
53399.js,0.733333333,0.0625,0.067567568,0.089285714,,,
53620.js,0.777777778,0.205882353,0.25,0.35,,,
53628.js,0.793103448,0.185185185,0.208333333,0.3125,,,
53659.js,0.727272727,0.243243243,0.375,0.375,,,
53667.js,0.863636364,0.179487179,0.212121212,0.21875,,,
53673.js,0.894736842,0.111111111,0.133333333,0.137931034,,,
53701.js,0.9,0.2,0.296296296,0.258064516,,,
53741.js,0.92,0.139534884,0.162162162,0.166666667,,,
53868.js,0.769230769,0.151162791,0.1625,0.224137931,,,
5396.js,0.948571429,0.106498195,0.107664234,0.187301587,,,
53980.js,1,0.307692308,0.4,0.4,,,
54129.js,0.8,0.311111111,0.4375,0.4375,,,
54354.js,0.772727273,0.179104478,0.196721311,0.214285714,,,
54409.js,1,0.192307692,0.25,0.25,,,
54693.js,0.8,0.092307692,0.101694915,0.125,,,
54815.js,0.826086957,0.209302326,0.3,0.321428571,,,
54985.js,0.810810811,0.163934426,0.181818182,0.188679245,,,
55287.js,0.9,0.25,0.294117647,0.333333333,,,
55447.js,0.827586207,0.201149425,0.208333333,0.336538462,,,
55460.js,1,0.238095238,0.333333333,0.333333333,,,
55478.js,0.869565217,0.170731707,0.2,0.2,,,
55560.js,0.842105263,0.161290323,0.178571429,0.192307692,,,
55570.js,0.64,0.14893617,0.170731707,0.175,,,
5565.js,0.5,0.071428571,0.125,0.5,,,
55685.js,0.979591837,0.658333333,0.692982456,0.692982456,,,
55856.js,0.72972973,0.153846154,0.192307692,0.178571429,,,
55876.js,0.72,0.127659574,0.176470588,0.193548387,,,
55879.js,0.882352941,0.166666667,0.2,0.214285714,,,
56064.js,1,0.352941176,0.571428571,0.428571429,,,
56095.js,0.9,0.166666667,0.2,0.206896552,,,
56372.js,0.692307692,0.1,0.113636364,0.172413793,,,
56410.js,1,0.161290323,0.2,0.208333333,,,
56547.js,0.553846154,0.077922078,0.081081081,0.108108108,,,
56601.js,0.916666667,0.15625,0.172413793,0.256410256,,,
56923.js,0.90625,0.203389831,0.226415094,0.260869565,,,
57025.js,0.55,0.024691358,0.026666667,0.090909091,,,
57223.js,0.683333333,0.094594595,0.1,0.142857143,,,
57320.js,1,0.066666667,0.5,0.5,,,
57339.js,1,1,1,1,,,
57449.js,0.777777778,0.081632653,0.108108108,0.285714286,,,
57481.js,0.866666667,0.077922078,0.092307692,0.214285714,,,
57567.js,1,1,0,0,,,
5758.js,0.702702703,0.129411765,0.148648649,0.234042553,,,
57583.js,1,0.369863014,0.45,0.402985075,,,
57591.js,1,0.275862069,0.5,0.347826087,,,
57617.js,0.8,0.142857143,0.333333333,0.214285714,,,
57698.js,0.857142857,0.24137931,0.304347826,0.304347826,,,
58229.js,0.8,0.209302326,0.243243243,0.310344828,,,
58412.js,0.666666667,0.192982456,0.215686275,0.35483871,,,
58550.js,0.857142857,0.3125,0.384615385,0.625,,,
58570.js,0.777777778,0.304347826,0.411764706,0.411764706,,,
58685.js,1,0.318181818,0.368421053,0.368421053,,,
58800.js,1,0.269230769,0.538461538,0.35,,,
58819.js,1,0.117647059,0.5,0.5,,,
58829.js,1,0.125,0.153846154,0.444444444,,,
58867.js,1,0.333333333,0.428571429,0.642857143,,,
58897.js,1,0.111111111,0.4,0.4,,,
